chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,ratio_8,ratio_9,face_shape
71.29,58.32,72.38,-1.146,5.6388,-0.5585,0.4681,2.7604,-0.3461,1.292,-0.4472,-0.9555,Oblong_face_shape
65.57,51.99,60.98,-1.8948,3.3082,-0.93,0.6967,2.3674,-0.4275,1.6493,-0.7052,-1.0122,Oblong_face_shape
59.86,43.99,54.77,-2.2997,3.6733,-0.7205,0.6571,5.4216,-0.1554,3.5626,-0.5537,-0.8426,Oblong_face_shape
70.56,53.13,67.49,-1.3238,5.1177,-0.578,0.6073,3.7002,-0.2175,2.2472,-0.4888,-0.8048,Oblong_face_shape
56.94,42.96,60.13,-1.5742,4.0977,-0.7135,0.6405,3.1949,-0.2859,2.0462,-0.585,-0.9134,Oblong_face_shape
65.61,49.27,63.91,-2.9122,3.5616,-0.6826,0.9693,10.8337,-0.0548,10.5011,-0.5757,-0.5939,Oblong_face_shape
77.21,64.15,75.7,-1.3244,4.2108,-0.8471,0.4856,2.0349,-0.6505,0.9881,-0.6428,-1.3237,Oblong_face_shape
70.6,58.11,75.86,-1.3556,4.6599,-0.662,0.6336,3.1354,-0.2497,1.9865,-0.4959,-0.7828,Oblong_face_shape
75.21,59.92,70.31,-1.5846,4.2455,-0.7316,0.8608,5.8501,-0.1063,5.0356,-0.5353,-0.6218,Oblong_face_shape
70.57,56.86,65.63,-1.613,4.3922,-0.6681,0.6658,3.4139,-0.2257,2.273,-0.513,-0.7706,Oblong_face_shape
61.75,48.82,56.01,-2.1703,2.9274,-0.9806,0.7094,2.7987,-0.3685,1.9854,-0.7317,-1.0314,Oblong_face_shape
62.45,48.81,60.59,-1.7553,3.4128,-0.8786,0.7829,3.1019,-0.2758,2.4284,-0.6698,-0.8556,Oblong_face_shape
68.07,53.45,80.18,-1.9188,3.4736,-0.797,0.6194,1.9285,-0.6447,1.1945,-0.7701,-1.2433,Oblong_face_shape
66.61,53.51,61.09,-1.9662,4.2334,-0.6949,0.6565,3.466,-0.236,2.2753,-0.5369,-0.8179,Oblong_face_shape
65.54,51.24,70.6,-1.4946,4.5274,-0.6295,0.667,3.3615,-0.2338,2.242,-0.5242,-0.7859,Oblong_face_shape
49.4,35.01,68.69,-1.7165,3.984,-0.6454,0.5921,2.7626,-0.3778,1.6358,-0.618,-1.0437,Oblong_face_shape
74.75,60.28,75.36,-0.9918,6.6008,-0.4915,0.4772,3.0749,-0.2555,1.4672,-0.3748,-0.7855,Oblong_face_shape
70.09,56.76,69.48,-1.8661,3.3127,-0.8834,0.742,2.2727,-0.4225,1.6863,-0.7125,-0.9603,Oblong_face_shape
61.46,48.44,63.99,-2.077,3.2124,-0.8474,0.7499,2.7284,-0.3363,2.046,-0.6881,-0.9176,Oblong_face_shape
70.77,56.02,77.48,-0.8996,6.2428,-0.5327,0.474,2.37,-0.4002,1.1235,-0.4496,-0.9485,Oblong_face_shape
66.6,53.83,73.2,-0.0833,60.1452,-0.0726,0.0662,40.3534,-0.0171,2.6724,-0.0458,-0.6916,Oblong_face_shape
64.85,50.21,81.94,-2.682,3.4735,-0.6909,0.6483,2.2342,-0.5126,1.4486,-0.7425,-1.1452,Oblong_face_shape
73.21,56.6,76.54,-1.5711,4.4031,-0.6844,0.6243,2.3514,-0.391,1.4679,-0.5739,-0.9194,Oblong_face_shape
57.32,43.07,72.84,-1.2038,5.233,-0.576,0.5267,2.4209,-0.4033,1.2751,-0.5143,-0.9764,Oblong_face_shape
71.23,58.08,67.51,-3.0386,2.83,-0.8838,0.8643,2.4516,-0.3493,2.1191,-0.7401,-0.8563,Oblong_face_shape
63.39,49.63,57.19,-2.06,4.0682,-0.6589,0.6346,4.7854,-0.169,3.0369,-0.5132,-0.8087,Oblong_face_shape
67.75,54.68,70.55,-1.6646,4.0718,-0.7332,0.6528,2.7403,-0.3163,1.789,-0.5658,-0.8667,Oblong_face_shape
70.58,55.63,63.34,-2.4817,3.6098,-0.7283,0.7189,3.6179,-0.2225,2.6008,-0.5787,-0.8051,Oblong_face_shape
