chin_angle_1,chin_angle_2,cheek_bone_angle,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,face_shape
63.32,51.44,79.3,-1.1181,5.0939,-0.6066,0.6131,3.7446,-0.2087,Oval_face_shape
54.98,41.99,68.33,-1.3121,3.6732,-0.8605,0.6414,2.1232,-0.5189,Oval_face_shape
60.27,44.5,62.3,-1.4768,3.5725,-0.8678,0.7625,2.8303,-0.3243,Oval_face_shape
69.78,53.13,80.8,-1.0803,5.7731,-0.5719,0.4229,2.4772,-0.4817,Oval_face_shape
67.38,51.34,80.66,-1.2408,4.3922,-0.6987,0.5929,2.2087,-0.4812,Oval_face_shape
63.43,48.5,79.95,-2.9754,3.3824,-0.6826,0.7126,2.4066,-0.4071,Oval_face_shape
76.46,63.01,70.57,-3.4061,3.0306,-0.8155,0.6976,3.0734,-0.3098,Oval_face_shape
66.04,51.19,76.87,-3.2215,3.0325,-0.7689,0.7788,2.3124,-0.4275,Oval_face_shape
73.89,60.33,80.36,-2.7261,3.2345,-0.8031,0.6179,1.9963,-0.5888,Oval_face_shape
63.59,49.18,76.75,-3.0133,3.2573,-0.703,0.6934,2.4537,-0.4129,Oval_face_shape
70.81,58.05,63.69,-6.1441,3.8593,-0.5486,0.7863,-14.8169,0.0383,Oval_face_shape
72.3,59.68,72.43,-1.7024,3.6891,-0.8176,0.7016,2.5839,-0.3443,Oval_face_shape
76.94,64.38,65.59,-2.5388,3.0661,-0.9354,0.5989,2.4739,-0.4731,Oval_face_shape
69.55,57.1,62.82,-2.9067,2.9198,-0.8644,0.812,3.0676,-0.2643,Oval_face_shape
70.14,56.55,58.47,-2.9223,3.2146,-0.7561,0.7624,4.72,-0.161,Oval_face_shape
88.59,77.28,70.73,-1.9049,4.8186,-0.6719,0.4111,3.2172,-0.3088,Oval_face_shape
60.36,45.8,67.76,-2.0942,5.3772,-0.4654,0.6495,83.5085,-0.0072,Oval_face_shape
68.42,57.59,64.86,-2.368,3.0242,-0.9452,0.7428,2.91,-0.3001,Oval_face_shape
78.42,64.87,69.65,-3.4481,3.2068,-0.816,0.7203,3.0174,-0.2818,Oval_face_shape
81.84,69.47,77.55,-1.7529,4.029,-0.772,0.5431,2.6443,-0.3817,Oval_face_shape
68.17,55.33,77.41,-2.2525,3.8233,-0.6524,0.7107,3.4277,-0.2248,Oval_face_shape
61.87,51.05,61.71,-2.6512,3.0871,-0.8561,0.7175,2.7354,-0.3299,Oval_face_shape
76.96,62.5,71.25,-1.3271,5.4987,-0.582,0.5164,3.3342,-0.2419,Oval_face_shape
62.0,49.08,58.88,-2.5716,2.8909,-0.9259,0.7652,3.1444,-0.3042,Oval_face_shape
74.67,60.04,76.62,-1.7277,4.2542,-0.6718,0.5927,2.4248,-0.3853,Oval_face_shape
63.43,49.4,71.2,-1.8622,3.9792,-0.7692,0.5062,2.063,-0.6132,Oval_face_shape
63.43,45.0,82.57,-1.4573,4.0109,-0.7244,0.7863,2.4066,-0.3681,Oval_face_shape
54.9,40.12,71.57,-1.2009,3.8927,-0.822,0.7204,2.4277,-0.3976,Oval_face_shape
68.45,54.05,75.23,-1.2688,3.9354,-0.866,0.7101,2.2298,-0.4198,Oval_face_shape
